molecule_chembl_id,smiles,standard_units,pIC50,standard_value,type,units,value
CHEMBL3642443,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(CN5Cc6cc(O)ccc6C5=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,nM,6.378,419.0,IC50,nM,419.0
CHEMBL3642444,COc1ccc2c(c1)C(=O)N(C[C@]1(c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,nM,6.071,849.0,IC50,nM,849.0
CHEMBL3642445,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@@]4(CN)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,nM,6.914,122.0,IC50,nM,122.0
CHEMBL3642446,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cnc4ccccc4c3CO)NC(=O)NC1=O)C2,nM,5.051,8897.0,IC50,nM,8897.0
CHEMBL3642447,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(C(N)=O)ccc3C)NC(=O)NC1=O)C2,nM,6.38,417.0,IC50,nM,417.0
CHEMBL3642448,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CCNC(=O)C(F)(F)F)s3)NC(=O)NC1=O)C2,nM,6.032,930.0,IC50,nM,930.0
CHEMBL3642449,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4=NCCN4)cc3)NC(=O)NC1=O)C2,nM,6.644,227.0,IC50,nM,227.0
CHEMBL3642450,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nnc[nH]4)cc3OC)NC(=O)NC1=O)C2,nM,6.883,131.0,IC50,nM,131.0
CHEMBL3642451,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)NO)cc3OC)NC(=O)NC1=O)C2,nM,6.836,146.0,IC50,nM,146.0
CHEMBL3642452,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4ccnc4)cc3OC)NC(=O)NC1=O)C2,nM,6.105,786.0,IC50,nM,786.0
